condition,symptoms,causes,warnings,recommendations
Asthma,"chest tightness, coughing at night, wheezing, fatigue",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Allergic Rhinitis,"Runny nose with frequent sneezing, throat irritation, and watery eyes., loss of appetite",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Diabetes,"slow healing wounds, frequent urination, blurred vision, fatigue, increased thirst, loss of appetite","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Arthritis,"Chronic joint inflammation with pain, stiffness, and tenderness., loss of appetite","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Allergic Rhinitis,"Runny nose with frequent sneezing, throat irritation, and watery eyes., dry throat","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Influenza,"chills, fatigue, headache, muscle aches, sore throat, loss of appetite",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Migraine,"pulsating pain, vomiting, severe headache, runny nose",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Diabetes,"fatigue, frequent urination, slow healing wounds, muscle weakness","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Sinusitis,"Patient has facial pain, nasal congestion, headache, and thick nasal discharge., fatigue","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Sinusitis,"Severe sinus pressure with headache, congestion, and reduced sense of smell., fatigue","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Gastroenteritis,"Patient has diarrhea, abdominal cramps, nausea, vomiting, and mild fever., fatigue","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Arthritis,"Chronic joint inflammation with pain, stiffness, and tenderness., muscle weakness",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Pneumonia,"fever, productive cough, fatigue, difficulty breathing, irritability","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Common Cold,"sore throat, mild cough, runny nose, mild fatigue, nasal congestion, dizziness",inflammation of airways,severe chest pain requires emergency care,rest and stay hydrated
Asthma,"coughing at night, chest tightness, breathing difficulty, blurred vision","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Diabetes,"fatigue, frequent urination, slow healing wounds, dizziness",bacterial infection,persistent high fever requires medical attention,take prescribed medication
Dengue,"High fever with severe headache, pain behind the eyes, muscle pain, and skin rash., mild headache","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Bronchitis,"shortness of breath, chest discomfort, fatigue, mild headache","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Common Cold,"mild cough, nasal congestion, runny nose, sneezing, mild fatigue, runny nose",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Sinusitis,"Patient has facial pain, nasal congestion, headache, and thick nasal discharge., body aches",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
COVID-19,"loss of taste, fatigue, loss of smell, dry cough, breathing difficulty, nausea",genetic and environmental factors,symptoms worsening rapidly should be evaluated by a doctor,seek medical advice if symptoms persist
Allergic Rhinitis,"Runny nose with frequent sneezing, throat irritation, and watery eyes., fatigue","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Malaria,"Recurrent fever episodes with nausea, headache, and muscle pain., fatigue","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Bronchitis,"chest discomfort, persistent cough, mucus production, fatigue, muscle weakness","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Pneumonia,"fatigue, fever, difficulty breathing, muscle weakness",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Gastroenteritis,"Frequent loose stools with stomach pain, dehydration, and nausea., irritability",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Pneumonia,"productive cough, chest pain, difficulty breathing, fatigue, mild headache",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Depression,"Feelings of hopelessness with low energy, difficulty concentrating, and appetite changes., chills","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
COVID-19,"loss of taste, dry cough, fever, fatigue, mild headache","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Bronchitis,"chest discomfort, mucus production, persistent cough, fatigue, shortness of breath, blurred vision","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Asthma,"shortness of breath, breathing difficulty, coughing at night, wheezing, chest tightness, fatigue",inflammation of airways,persistent high fever requires medical attention,seek medical advice if symptoms persist
COVID-19,"breathing difficulty, loss of taste, loss of smell, dry cough, fever, runny nose",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Migraine,"sensitivity to light, vomiting, nausea, chills",viral infection,persistent high fever requires medical attention,seek medical advice if symptoms persist
Pneumonia,"difficulty breathing, fever, chest pain, fatigue, productive cough, chills",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Hypertension,"The patient experiences frequent headaches, dizziness, and blurred vision especially during stress., blurred vision","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Asthma,"coughing at night, wheezing, shortness of breath, breathing difficulty, chest tightness, dizziness",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Influenza,"headache, dry cough, fever, sore throat, dry throat","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., muscle weakness",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Common Cold,"mild cough, runny nose, nasal congestion, sneezing, mild fatigue, muscle weakness",genetic and environmental factors,severe chest pain requires emergency care,take prescribed medication
Sinusitis,"Patient has facial pain, nasal congestion, headache, and thick nasal discharge., mild headache",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Sinusitis,"Patient has facial pain, nasal congestion, headache, and thick nasal discharge., mild headache","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., sweating",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Hypertension,"Persistent high blood pressure with headaches, fatigue, and occasional nosebleeds., dry throat",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
COVID-19,"fatigue, fever, loss of taste, breathing difficulty, dry cough, dry throat",genetic and environmental factors,severe chest pain requires emergency care,monitor symptoms carefully
Malaria,"Patient experiences periodic fever, chills, sweating, headache, and body aches., runny nose","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Diabetes,"increased thirst, blurred vision, frequent urination, runny nose","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Arthritis,"Patient reports joint pain, stiffness, swelling, and difficulty moving the joints., chills","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Bronchitis,"persistent cough, shortness of breath, mucus production, fatigue, chest discomfort, runny nose",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Bronchitis,"shortness of breath, persistent cough, mucus production, fatigue, chest discomfort, mild headache","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Bronchitis,"persistent cough, mucus production, chest discomfort, shortness of breath, fatigue, muscle weakness","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Migraine,"sensitivity to light, severe headache, nausea, pulsating pain, vomiting, fatigue",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Influenza,"headache, dry cough, chills, sore throat, muscle aches, runny nose",genetic and environmental factors,persistent high fever requires medical attention,monitor symptoms carefully
Hypertension,"The patient experiences frequent headaches, dizziness, and blurred vision especially during stress., dizziness","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Pneumonia,"difficulty breathing, fever, chest pain, fatigue, productive cough, mild headache",inflammation of airways,severe chest pain requires emergency care,consult a healthcare professional
Common Cold,"sneezing, nasal congestion, mild cough, runny nose, dizziness","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Common Cold,"nasal congestion, runny nose, mild fatigue, mild cough, sore throat, loss of appetite",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Arthritis,"Patient reports joint pain, stiffness, swelling, and difficulty moving the joints., blurred vision",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., blurred vision","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Tuberculosis,"Patient has a persistent cough for weeks with weight loss, night sweats, and mild fever., chills","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Sinusitis,"Severe sinus pressure with headache, congestion, and reduced sense of smell., blurred vision","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Tuberculosis,"Long‑lasting cough with chest pain, fatigue, fever, and coughing up blood., sweating",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
COVID-19,"fever, loss of smell, loss of taste, fatigue, irritability",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., irritability",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., mild headache","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
COVID-19,"loss of taste, breathing difficulty, fatigue, blurred vision","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., loss of appetite","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Arthritis,"Morning joint stiffness with swelling, pain, and reduced mobility., dizziness",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
COVID-19,"dry cough, fever, loss of smell, dizziness","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Arthritis,"Morning joint stiffness with swelling, pain, and reduced mobility., mild headache","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Influenza,"chills, fever, dry cough, difficulty sleeping",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Sinusitis,"Severe sinus pressure with headache, congestion, and reduced sense of smell., fatigue","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Bronchitis,"persistent cough, chest discomfort, fatigue, shortness of breath, runny nose","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
COVID-19,"loss of smell, fatigue, dry cough, loss of taste, dry throat","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., dizziness",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Influenza,"sore throat, dry cough, fever, chills, headache, nausea",genetic and environmental factors,seek medical help if breathing becomes difficult,consult a healthcare professional
Pneumonia,"difficulty breathing, chest pain, fever, productive cough, fatigue, runny nose",immune response,symptoms worsening rapidly should be evaluated by a doctor,rest and stay hydrated
Asthma,"coughing at night, shortness of breath, breathing difficulty, chest tightness, dizziness",genetic and environmental factors,symptoms worsening rapidly should be evaluated by a doctor,seek medical advice if symptoms persist
Tuberculosis,"Long‑lasting cough with chest pain, fatigue, fever, and coughing up blood., blurred vision",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Migraine,"vomiting, sensitivity to light, pulsating pain, chills","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
COVID-19,"loss of smell, fatigue, dry cough, loss of taste, blurred vision","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., nausea","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Bronchitis,"chest discomfort, mucus production, persistent cough, fatigue, shortness of breath, difficulty sleeping","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., muscle weakness","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Malaria,"Patient experiences periodic fever, chills, sweating, headache, and body aches., irritability",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Migraine,"sensitivity to light, vomiting, pulsating pain, nausea, blurred vision",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Hypertension,"The patient experiences frequent headaches, dizziness, and blurred vision especially during stress., blurred vision","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Arthritis,"Morning joint stiffness with swelling, pain, and reduced mobility., dizziness",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Common Cold,"sneezing, mild fatigue, nasal congestion, sore throat, difficulty sleeping","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Asthma,"wheezing, breathing difficulty, coughing at night, difficulty sleeping",genetic and environmental factors,severe chest pain requires emergency care,take prescribed medication
Sinusitis,"Patient has facial pain, nasal congestion, headache, and thick nasal discharge., nausea",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Hypertension,"Patient reports chest discomfort, headache, and feeling of pressure in the head., runny nose","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Gastroenteritis,"Frequent loose stools with stomach pain, dehydration, and nausea., body aches","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Anemia,"Low energy levels with dizziness, shortness of breath, and fatigue., blurred vision","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Asthma,"coughing at night, wheezing, shortness of breath, breathing difficulty, chest tightness, body aches",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Anemia,"Patient experiences fatigue, pale skin, shortness of breath, and dizziness., nausea","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Pneumonia,"fatigue, difficulty breathing, productive cough, fever, chest pain, fatigue","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Diabetes,"increased thirst, blurred vision, slow healing wounds, fatigue, fatigue",inflammation of airways,persistent high fever requires medical attention,take prescribed medication
COVID-19,"breathing difficulty, fever, fatigue, dry throat",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Diabetes,"frequent urination, fatigue, blurred vision, increased thirst, slow healing wounds, irritability","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Sinusitis,"Patient has facial pain, nasal congestion, headache, and thick nasal discharge., body aches",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Common Cold,"mild cough, nasal congestion, mild fatigue, runny nose, blurred vision",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Malaria,"Recurrent fever episodes with nausea, headache, and muscle pain., nausea","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Pneumonia,"chest pain, fever, fatigue, body aches",genetic and environmental factors,seek medical help if breathing becomes difficult,monitor symptoms carefully
Arthritis,"Morning joint stiffness with swelling, pain, and reduced mobility., loss of appetite","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Migraine,"sensitivity to light, vomiting, severe headache, pulsating pain, muscle weakness","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Bronchitis,"shortness of breath, mucus production, persistent cough, difficulty sleeping",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Pneumonia,"difficulty breathing, productive cough, fatigue, fever, dizziness","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Common Cold,"sneezing, mild cough, nasal congestion, runny nose, muscle weakness","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Influenza,"chills, dry cough, fatigue, fever, muscle weakness",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Tuberculosis,"Patient has a persistent cough for weeks with weight loss, night sweats, and mild fever., irritability","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Sinusitis,"Severe sinus pressure with headache, congestion, and reduced sense of smell., runny nose",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
COVID-19,"loss of taste, loss of smell, fatigue, dry cough, fever, blurred vision",genetic and environmental factors,seek medical help if breathing becomes difficult,take prescribed medication
Migraine,"sensitivity to light, severe headache, nausea, pulsating pain, vomiting, body aches",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Migraine,"nausea, sensitivity to light, vomiting, severe headache, runny nose",genetic and environmental factors,seek medical help if breathing becomes difficult,consult a healthcare professional
Common Cold,"mild cough, sneezing, nasal congestion, nausea",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Arthritis,"Chronic joint inflammation with pain, stiffness, and tenderness., dizziness","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Common Cold,"nasal congestion, runny nose, sore throat, difficulty sleeping","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Common Cold,"sneezing, mild cough, nasal congestion, runny nose, loss of appetite",genetic and environmental factors,seek medical help if breathing becomes difficult,seek medical advice if symptoms persist
Anemia,"Low energy levels with dizziness, shortness of breath, and fatigue., fatigue","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Gastroenteritis,"Patient has diarrhea, abdominal cramps, nausea, vomiting, and mild fever., body aches",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Tuberculosis,"Patient has a persistent cough for weeks with weight loss, night sweats, and mild fever., difficulty sleeping",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Malaria,"Patient experiences periodic fever, chills, sweating, headache, and body aches., loss of appetite",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Influenza,"chills, dry cough, headache, muscle weakness",viral infection,symptoms worsening rapidly should be evaluated by a doctor,take prescribed medication
Bronchitis,"chest discomfort, shortness of breath, fatigue, persistent cough, mucus production, difficulty sleeping","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Sinusitis,"Severe sinus pressure with headache, congestion, and reduced sense of smell., body aches",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Tuberculosis,"Chronic cough accompanied by night sweats, fever, and loss of appetite., irritability","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Bronchitis,"persistent cough, fatigue, shortness of breath, chest discomfort, mucus production, irritability",bacterial infection,severe chest pain requires emergency care,seek medical advice if symptoms persist
Asthma,"coughing at night, chest tightness, shortness of breath, breathing difficulty, wheezing, chills",inflammation of airways,seek medical help if breathing becomes difficult,take prescribed medication
Asthma,"shortness of breath, breathing difficulty, chest tightness, wheezing, mild headache",inflammation of airways,seek medical help if breathing becomes difficult,rest and stay hydrated
Migraine,"sensitivity to light, severe headache, vomiting, pulsating pain, nausea, runny nose",immune response,persistent high fever requires medical attention,seek medical advice if symptoms persist
Migraine,"sensitivity to light, severe headache, vomiting, pulsating pain, nausea, irritability","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Gastroenteritis,"Frequent loose stools with stomach pain, dehydration, and nausea., loss of appetite","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Depression,"Feelings of hopelessness with low energy, difficulty concentrating, and appetite changes., sweating","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Tuberculosis,"Chronic cough accompanied by night sweats, fever, and loss of appetite., dry throat","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Tuberculosis,"Chronic cough accompanied by night sweats, fever, and loss of appetite., blurred vision","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
COVID-19,"dry cough, loss of smell, fever, breathing difficulty, loss of taste, runny nose","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Influenza,"fever, chills, dry cough, headache, dry throat",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Arthritis,"Chronic joint inflammation with pain, stiffness, and tenderness., irritability",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Anemia,"Low energy levels with dizziness, shortness of breath, and fatigue., dizziness","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Migraine,"nausea, sensitivity to light, vomiting, severe headache, dizziness","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
COVID-19,"loss of taste, breathing difficulty, fever, dry cough, fatigue, sweating","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Bronchitis,"shortness of breath, chest discomfort, fatigue, body aches",genetic and environmental factors,severe chest pain requires emergency care,rest and stay hydrated
Pneumonia,"fever, fatigue, difficulty breathing, productive cough, chills",inflammation of airways,severe chest pain requires emergency care,rest and stay hydrated
Depression,"Long periods of sadness with fatigue, insomnia, and lack of motivation., difficulty sleeping","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Common Cold,"runny nose, nasal congestion, mild fatigue, sneezing, nausea",immune response,seek medical help if breathing becomes difficult,seek medical advice if symptoms persist
Depression,"Long periods of sadness with fatigue, insomnia, and lack of motivation., irritability","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Migraine,"nausea, sensitivity to light, pulsating pain, severe headache, blurred vision","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
COVID-19,"breathing difficulty, dry cough, fatigue, body aches","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Depression,"Feelings of hopelessness with low energy, difficulty concentrating, and appetite changes., muscle weakness",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Bronchitis,"shortness of breath, fatigue, mucus production, persistent cough, body aches",inflammation of airways,persistent high fever requires medical attention,rest and stay hydrated
Anemia,"Low energy levels with dizziness, shortness of breath, and fatigue., dry throat","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Migraine,"vomiting, pulsating pain, severe headache, muscle weakness","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Hypertension,"Persistent high blood pressure with headaches, fatigue, and occasional nosebleeds., chills",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Sinusitis,"Patient has facial pain, nasal congestion, headache, and thick nasal discharge., sweating","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
